STATION,DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindGustSpeed,HourlyWindSpeed
72505394728.0,2019-01-01 00:00:00,46,47,0.03,97.0,3,47.0,,
72505394728.0,2019-01-01 01:00:00,49,50,0.02,96.0,8,49.0,,
72505394728.0,2019-01-01 02:00:00,51,52,0,97.0,4,51.0,,
72505394728.0,2019-01-01 03:00:00,50,51,0.01,96.0,2.5,50.0,,
72505394728.0,2019-01-01 04:00:00,52,53,0,96.0,6,52.0,,
72505394728.0,2019-01-01 05:00:00,53,54,0,97.0,10,53.0,,
72505394728.0,2019-01-01 06:00:00,53,57,0,87.0,10,55.0,,
72505394728.0,2019-01-01 07:00:00,52,57,0,83.0,10,54.0,,
72505394728.0,2019-01-01 08:00:00,51,58,0,78.0,10,54.0,,
72505394728.0,2019-01-01 09:00:00,47,58,0,67.0,10,52.0,,
72505394728.0,2019-01-01 10:00:00,44,58,0,60.0,10,51.0,,
72505394728.0,2019-01-01 11:00:00,38,56,0,51.0,10,47.0,,
72505394728.0,2019-01-01 12:00:00,35,55,0,47.0,10,46.0,,
72505394728.0,2019-01-01 13:00:00,35,51,0,54.0,10,44.0,,
72505394728.0,2019-01-01 14:00:00,32,49,0,52.0,10,42.0,,
72505394728.0,2019-01-01 15:00:00,30,47,0,52.0,10,40.0,,
72505394728.0,2019-01-01 16:00:00,29,45,0,54.0,10,38.0,,
72505394728.0,2019-01-01 17:00:00,30,44,0,58.0,10,38.0,,
72505394728.0,2019-01-01 18:00:00,30,44,0,58.0,10,38.0,,
72505394728.0,2019-01-01 19:00:00,30,43,0,60.0,10,38.0,,
72505394728.0,2019-01-01 20:00:00,27,43,0,53.0,10,37.0,,
72505394728.0,2019-01-01 21:00:00,26,42,0,53.0,10,36.0,,
72505394728.0,2019-01-01 22:00:00,25,41,0,53.0,10,35.0,,
72505394728.0,2019-01-01 23:00:00,25,41,0,53.0,10,35.0,,
72505394728.0,2019-01-02 00:00:00,25,38,0,60.0,10,33.0,,
72505394728.0,2019-01-02 01:00:00,25,38,0,60.0,10,33.0,,
72505394728.0,2019-01-02 02:00:00,23,37,0,57.0,10,32.0,,
72505394728.0,2019-01-02 03:00:00,22,37,0,54.0,10,32.0,,
72505394728.0,2019-01-02 04:00:00,22,36,0,57.0,10,31.0,,
72505394728.0,2019-01-02 05:00:00,22,36,0,57.0,10,31.0,,
72505394728.0,2019-01-02 06:00:00,21,35,0,57.0,10,30.0,,
72505394728.0,2019-01-02 07:00:00,21,35,0,57.0,10,30.0,,
72505394728.0,2019-01-02 08:00:00,23,36,0,59.0,10,31.0,,
72505394728.0,2019-01-02 09:00:00,21,36,0,55.0,10,31.0,,
72505394728.0,2019-01-02 10:00:00,21,37,0,52.0,9,31.0,,
72505394728.0,2019-01-02 11:00:00,21,38,0,51.0,10,32.0,,
72505394728.0,2019-01-02 12:00:00,20,38,0,48.0,10,32.0,,
72505394728.0,2019-01-02 13:00:00,22,39,0,50.0,10,33.0,,
72505394728.0,2019-01-02 14:00:00,22,39,0,50.0,10,33.0,,
