STATION,DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindGustSpeed,HourlyWindSpeed
72287493134.0,2019-01-01 00:00:00,21,44,0,40.0,8,35.0,,0.0
72287493134.0,2019-01-01 01:00:00,19,44,0,37.0,7,35.0,,0.0
72287493134.0,2019-01-01 02:00:00,20,44,0,38.0,10,35.0,,0.0
72287493134.0,2019-01-01 03:00:00,19,43,0,38.0,10,34.0,,0.0
72287493134.0,2019-01-01 04:00:00,21,40,0,47.0,10,33.0,,0.0
72287493134.0,2019-01-01 05:00:00,21,40,0,47.0,10,33.0,,0.0
72287493134.0,2019-01-01 06:00:00,23,38,0,55.0,10,32.0,,0.0
72287493134.0,2019-01-01 07:00:00,22,41,0,47.0,10,34.0,,0.0
72287493134.0,2019-01-01 08:00:00,21,47,0,36.0,10,37.0,,0.0
72287493134.0,2019-01-01 09:00:00,19,52,0,27.0,10,39.0,,3.0
72287493134.0,2019-01-01 10:00:00,14,55,0,20.0,10,40.0,,0.0
72287493134.0,2019-01-01 11:00:00,14,58,0,18.0,10,41.0,,0.0
72287493134.0,2019-01-01 12:00:00,9,59,0,13.0,10,41.0,,0.0
72287493134.0,2019-01-01 13:00:00,9,60,0,13.0,10,41.0,,6.0
72287493134.0,2019-01-01 14:00:00,8,61,0,12.0,10,42.0,,5.0
72287493134.0,2019-01-01 15:00:00,10,61,0,13.0,10,42.0,,5.0
72287493134.0,2019-01-01 16:00:00,14,57,0,18.0,10,41.0,,3.0
72287493134.0,2019-01-01 17:00:00,19,54,0,25.0,10,40.0,,0.0
72287493134.0,2019-01-01 18:00:00,21,50,0,32.0,10,39.0,,0.0
72287493134.0,2019-01-01 19:00:00,22,48,0,36.0,10,38.0,,0.0
72287493134.0,2019-01-01 20:00:00,24,46,0,42.0,10,37.0,,0.0
72287493134.0,2019-01-01 21:00:00,20,46,0,35.0,10,36.0,,0.0
72287493134.0,2019-01-01 22:00:00,21,46,0,37.0,10,37.0,,3.0
72287493134.0,2019-01-01 23:00:00,21,46,0,37.0,10,37.0,,3.0
72287493134.0,2019-01-02 00:00:00,21,43,0,42.0,10,35.0,,0.0
