,month,day,hour,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindGustSpeed,HourlyWindSpeed,ridesperhour
0,1.0,1.0,0.0,21,44,0.0,40.0,8.0,35.0,0.0,0.0,19.0
1,1.0,1.0,1.0,19,44,0.0,37.0,7.0,35.0,0.0,0.0,8.0
2,1.0,1.0,2.0,20,44,0.0,38.0,10.0,35.0,0.0,0.0,16.0
3,1.0,1.0,3.0,19,43,0.0,38.0,10.0,34.0,0.0,0.0,2.0
4,1.0,1.0,4.0,21,40,0.0,47.0,10.0,33.0,0.0,0.0,0.0
5,1.0,1.0,5.0,21,40,0.0,47.0,10.0,33.0,0.0,0.0,0.0
6,1.0,1.0,6.0,23,38,0.0,55.0,10.0,32.0,0.0,0.0,2.0
7,1.0,1.0,7.0,22,41,0.0,47.0,10.0,34.0,0.0,0.0,5.0
8,1.0,1.0,8.0,21,47,0.0,36.0,10.0,37.0,0.0,0.0,1.0
9,1.0,1.0,9.0,19,52,0.0,27.0,10.0,39.0,0.0,3.0,9.0
10,1.0,1.0,10.0,14,55,0.0,20.0,10.0,40.0,0.0,0.0,19.0
11,1.0,1.0,11.0,14,58,0.0,18.0,10.0,41.0,0.0,0.0,39.0
12,1.0,1.0,12.0,9,59,0.0,13.0,10.0,41.0,0.0,0.0,35.0
13,1.0,1.0,13.0,9,60,0.0,13.0,10.0,41.0,0.0,6.0,53.0
14,1.0,1.0,14.0,8,61,0.0,12.0,10.0,42.0,0.0,5.0,54.0
15,1.0,1.0,15.0,10,61,0.0,13.0,10.0,42.0,0.0,5.0,60.0
16,1.0,1.0,16.0,14,57,0.0,18.0,10.0,41.0,0.0,3.0,55.0
17,1.0,1.0,17.0,19,54,0.0,25.0,10.0,40.0,0.0,0.0,49.0
18,1.0,1.0,18.0,21,50,0.0,32.0,10.0,39.0,0.0,0.0,28.0
19,1.0,1.0,19.0,22,48,0.0,36.0,10.0,38.0,0.0,0.0,15.0
20,1.0,1.0,20.0,24,46,0.0,42.0,10.0,37.0,0.0,0.0,19.0
21,1.0,1.0,21.0,20,46,0.0,35.0,10.0,36.0,0.0,0.0,14.0
22,1.0,1.0,22.0,21,46,0.0,37.0,10.0,37.0,0.0,3.0,10.0
23,1.0,1.0,23.0,21,46,0.0,37.0,10.0,37.0,0.0,3.0,3.0
24,1.0,2.0,0.0,21,43,0.0,42.0,10.0,35.0,0.0,0.0,1.0
25,1.0,2.0,1.0,23,41,0.0,49.0,10.0,34.0,0.0,0.0,1.0
26,1.0,2.0,2.0,21,40,0.0,47.0,10.0,33.0,0.0,0.0,0.0
27,1.0,2.0,3.0,23,39,0.0,53.0,10.0,33.0,0.0,0.0,0.0
28,1.0,2.0,4.0,21,39,0.0,48.0,10.0,32.0,0.0,0.0,0.0
29,1.0,2.0,5.0,22,39,0.0,50.0,10.0,33.0,0.0,0.0,2.0
30,1.0,2.0,6.0,22,38,0.0,52.0,10.0,32.0,0.0,0.0,10.0
31,1.0,2.0,7.0,22,42,0.0,45.0,10.0,35.0,0.0,0.0,24.0
32,1.0,2.0,8.0,23,47,0.0,39.0,10.0,38.0,0.0,3.0,48.0
33,1.0,2.0,9.0,17,54,0.0,23.0,10.0,40.0,0.0,5.0,39.0
34,1.0,2.0,10.0,12,57,0.0,17.0,10.0,40.0,0.0,5.0,36.0
35,1.0,2.0,11.0,18,59,0.0,20.0,10.0,43.0,0.0,0.0,36.0
36,1.0,2.0,12.0,16,60,0.0,18.0,10.0,43.0,0.0,3.0,51.0
37,1.0,2.0,13.0,16,61,0.0,17.0,10.0,43.0,0.0,0.0,53.0
38,1.0,2.0,14.0,27,62,0.0,26.0,10.0,47.0,0.0,7.0,51.0
39,1.0,2.0,15.0,28,60,0.0,30.0,10.0,46.0,0.0,3.0,71.0
40,1.0,2.0,16.0,30,57,0.0,36.0,10.0,45.0,0.0,3.0,67.0
41,1.0,2.0,17.0,26,54,0.0,34.0,10.0,42.0,0.0,0.0,56.0
42,1.0,2.0,18.0,28,51,0.0,41.0,10.0,41.0,0.0,0.0,37.0
43,1.0,2.0,19.0,31,50,0.0,48.0,10.0,42.0,0.0,0.0,32.0
44,1.0,2.0,20.0,31,48,0.0,52.0,10.0,41.0,0.0,0.0,24.0
45,1.0,2.0,21.0,30,47,0.0,52.0,10.0,40.0,0.0,0.0,16.0
