,month,day,hour,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindGustSpeed,HourlyWindSpeed,POPULATION_PER_MILLION,Total_population_SUMMARY_INDICATORS_Median_age_(years),Total_population_SUMMARY_INDICATORS_Sex_ratio_(males_per_100_females),Estimate_Percent_Total_population_15_to_44_years,Estimate_Percent_Total_population_60_years_and_over,MEDIAN_INCOME_PER_100k,RATIO_OF_NON-FAMILY_TO_FAMILY_HOUSEHOLDS,RATIO_OF_WOKERS_TO_PEOPLE_(OVER_16),Workers_16_years_and_over_Public_transportation_(excluding_taxicab),Workers_16_years_and_over_Walked,Workers_16_years_and_over_Bicycle,"Workers_16_years_and_over_Taxicab,_motorcycle,_or_other_means",Workers_16_years_and_over_Worked_in_county_of_residence,Workers_16_years_and_over_Mean_travel_time_to_work_(minutes),ridesperhour
0,1.0,1.0,0.0,46,47,0.03,97.0,3.0,47.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,133.0
1,1.0,1.0,1.0,49,50,0.02,96.0,8.0,49.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,272.0
2,1.0,1.0,2.0,51,52,0.0,97.0,4.0,51.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,283.0
3,1.0,1.0,3.0,50,51,0.01,96.0,2.5,50.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,187.0
4,1.0,1.0,4.0,52,53,0.0,96.0,6.0,52.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,120.0
5,1.0,1.0,5.0,53,54,0.0,97.0,10.0,53.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,72.0
6,1.0,1.0,6.0,53,57,0.0,87.0,10.0,55.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,151.0
7,1.0,1.0,7.0,52,57,0.0,83.0,10.0,54.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,198.0
8,1.0,1.0,8.0,51,58,0.0,78.0,10.0,54.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,384.0
9,1.0,1.0,9.0,47,58,0.0,67.0,10.0,52.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,555.0
10,1.0,1.0,10.0,44,58,0.0,60.0,10.0,51.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,929.0
11,1.0,1.0,11.0,38,56,0.0,51.0,10.0,47.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,1480.0
12,1.0,1.0,12.0,35,55,0.0,47.0,10.0,46.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,1960.0
13,1.0,1.0,13.0,35,51,0.0,54.0,10.0,44.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,2430.0
14,1.0,1.0,14.0,32,49,0.0,52.0,10.0,42.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,2520.0
15,1.0,1.0,15.0,30,47,0.0,52.0,10.0,40.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,2390.0
16,1.0,1.0,16.0,29,45,0.0,54.0,10.0,38.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,2100.0
17,1.0,1.0,17.0,30,44,0.0,58.0,10.0,38.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,1560.0
18,1.0,1.0,18.0,30,44,0.0,58.0,10.0,38.0,0.0,0.0,8.336817,3.72,0.9129999999999999,0.429,0.21100000000000002,0.69407,0.701395225,0.592770001,0.556,0.10300000000000001,0.013000000000000001,1.9,0.5539999999999999,4.17,1220.0
